player_id,season_id,opposition_team_id,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_avg,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded
503,1,9,1,1,19,3.0,21.0,1,7.0,21.0,18.0,8,42.11,2,0
503,1,11,1,1,6,1.0,10.0,0,10.0,0.0,inf,2,33.33,2,0
503,1,13,1,1,12,2.0,24.0,0,12.0,0.0,inf,5,41.67,3,1
503,1,17,2,2,42,7.0,47.0,0,6.71,0.0,inf,15,35.71,6,1
511,1,11,1,1,14,2.0,29.0,0,14.5,0.0,inf,5,35.71,3,1
534,1,5,2,2,45,7.0,67.0,1,9.57,67.0,42.0,15,33.33,8,2
534,1,13,1,1,24,4.0,32.0,1,8.0,32.0,24.0,9,37.5,4,1
536,1,2,3,3,60,10.0,84.0,2,8.4,42.0,30.0,19,31.67,5,4
536,1,5,2,2,39,6.0,49.0,2,8.17,24.5,18.0,12,30.77,5,0
536,1,6,3,3,68,11.0,98.0,3,8.91,32.67,22.0,20,29.41,5,6
536,1,9,2,2,31,5.0,41.0,1,8.2,41.0,30.0,10,32.26,1,3
536,1,13,1,1,24,4.0,19.0,3,4.75,6.33,8.0,11,45.83,0,1
536,1,16,2,2,49,8.0,67.0,4,8.38,16.75,12.0,12,24.49,4,3
536,1,17,2,2,48,8.0,46.0,4,5.75,11.5,12.0,23,47.92,3,2
559,1,2,2,2,50,8.0,55.0,2,6.88,27.5,24.0,20,40.0,6,1
559,1,5,1,1,27,4.0,14.0,1,3.5,14.0,24.0,17,62.96,0,1
559,1,6,2,2,55,9.0,68.0,2,7.56,34.0,24.0,29,52.73,10,1
559,1,9,1,1,25,4.0,27.0,3,6.75,9.0,8.0,10,40.0,4,0
559,1,13,2,2,40,6.0,49.0,0,8.17,0.0,inf,15,37.5,4,2
559,1,16,2,2,50,8.0,39.0,2,4.88,19.5,24.0,25,50.0,5,0
